Ano,Meses,Agendamentos,Quantidade
2022,Jan/22,Atendimentos efetuados,1830
2022,Jan/22,Atendimentos não efetuados,173
2022,Fev/22,Atendimentos efetuados,1905
2022,Fev/22,Atendimentos não efetuados,210
2022,Mar/22,Atendimentos efetuados,2269
2022,Mar/22,Atendimentos não efetuados,317
2022,Abr/22,Atendimentos efetuados,1981
2022,Abr/22,Atendimentos não efetuados,241
2022,Mai/22,Atendimentos efetuados,2029
2022,Mai/22,Atendimentos não efetuados,233
2022,Jun/22,Atendimentos efetuados,2124
2022,Jun/22,Atendimentos não efetuados,237
2022,Jul/22,Atendimentos efetuados,2056
2022,Jul/22,Atendimentos não efetuados,199
2022,Ago/22,Atendimentos efetuados,2267
2022,Ago/22,Atendimentos não efetuados,136
2022,Set/22,Atendimentos efetuados,2175
2022,Set/22,Atendimentos não efetuados,197
2022,Out/22,Atendimentos efetuados,1976
2022,Out/22,Atendimentos não efetuados,103
2022,Nov/22,Atendimentos efetuados,1953
2022,Nov/22,Atendimentos não efetuados,92
2022,Dez/22,Atendimentos efetuados,1841
2022,Dez/22,Atendimentos não efetuados,173
2023,Jan/23,Atendimentos efetuados,2207
2023,Jan/23,Atendimentos não efetuados,175
2023,Fev/23,Atendimentos efetuados,1937
2023,Fev/23,Atendimentos não efetuados,174
2023,Mar/23,Atendimentos efetuados,2408
2023,Mar/23,Atendimentos não efetuados,248
2023,Abr/23,Atendimentos efetuados,1926
2023,Abr/23,Atendimentos não efetuados,197
2023,Mai/23,Atendimentos efetuados,1925
2023,Mai/23,Atendimentos não efetuados,201
2023,Jun/23,Atendimentos efetuados,2014
2023,Jun/23,Atendimentos não efetuados,152
2023,Jul/23,Atendimentos efetuados,2249
2023,Jul/23,Atendimentos não efetuados,184
2023,Ago/23,Atendimentos efetuados,2563
2023,Ago/23,Atendimentos não efetuados,176
2023,Set/23,Atendimentos efetuados,2023
2023,Set/23,Atendimentos não efetuados,231
2023,Out/23,Atendimentos efetuados,2052
2023,Out/23,Atendimentos não efetuados,164
2023,Nov/23,Atendimentos efetuados,1992
2023,Nov/23,Atendimentos não efetuados,135
2023,Dez/23,Atendimentos efetuados,1628
2023,Dez/23,Atendimentos não efetuados,102
2024,Jan/24,Atendimentos efetuados,2279
2024,Jan/24,Atendimentos não efetuados,135
2024,Fev/24,Atendimentos efetuados,2025
2024,Fev/24,Atendimentos não efetuados,111
2024,Mar/24,Atendimentos efetuados,2040
2024,Mar/24,Atendimentos não efetuados,102
2024,Abr/24,Atendimentos efetuados,2374
2024,Abr/24,Atendimentos não efetuados,121
2024,Mai/24,Atendimentos efetuados,1713
2024,Mai/24,Atendimentos não efetuados,95
2024,Jun/24,Atendimentos efetuados,2260
2024,Jun/24,Atendimentos não efetuados,94
2024,Jul/24,Atendimentos efetuados,2107
2024,Jul/24,Atendimentos não efetuados,133
2024,Ago/24,Atendimentos efetuados,2242
2024,Ago/24,Atendimentos não efetuados,110
2024,Set/24,Atendimentos efetuados,2354
2024,Set/24,Atendimentos não efetuados,87
